location,loctype,counts,lon,lat,comments,attitudes,reposts,price,introduction,开放时间,关闭时间,动物,赏花,文化典故,美食,带娃
苏州园林博物馆,博物馆,111,120.629562,31.32485,136,6,20,0,"苏州园林博物馆最早位于拙政园住宅区域内，于1992年秋天建成开放，是中国第一座园林专题博物馆。
苏州园林博物馆新馆现位于拙政园西侧，始建于2005年10月，建筑面积3390平方米，在原来二层小楼的基础上新建了一层建筑。整个新馆分成序厅、园林历史厅、园林艺术厅、园林文化厅和结束厅几个部分，其中园林艺术厅详细展示了叠山、理水、花木、建筑等造园手法。",8:30,17:00,,,1,,
新四军太湖游击队纪念馆,博物馆,6,120.317031,31.268943,13,1,4,0,新四军太湖游击队纪念馆位于苏州吴中区光福镇冲山村北山，主体工程占地面积1700平方米，总投资约1000万，历经近十个月的时间打造，正式建成对外开放。 新四军太湖游击队纪念馆于2009年9月开馆，馆名由全国新四军研究会会长周克玉上将题写。展厅设在八角形纪念塔——太湖阁的第一层，分太湖支队初建、太湖支队重建、太湖支队扩建和烈士英名录四部分，同时陈列游击队战士曾用过的生活用品、战斗武器和信件等，辅以太湖芦苇荡、联络站等场景，展现了太湖游击队的战斗历程和英雄风貌。纪念馆现为苏州市爱国主义教育基地。,9:00,17:00,,,1,,
西山地质博物馆,博物馆,53,120.2617343,31.1149178,66,1,8,0,苏州太湖西山地质博物馆是省内首家国家地质公园博物馆，是一个集展览、收藏、研究和教育于一体，兼有科学性、知识性、观赏性和趣味性的科学旅游景点和科普教育基地。,9:00,17:00,,,1,,1
叶圣陶纪念馆,博物馆,22,120.872002,31.27139812,8,1,3,0,"叶圣陶纪念馆位于江苏省苏州市吴中区甪直镇叶圣陶公园，保圣寺西侧，建于“吴县立第五高等小学”原址上，1917年至1922年，叶圣陶曾在这里任教。在其逝世后，当地将原校区几处旧址重新修建，辟为叶圣陶纪念馆。
叶圣陶纪念馆为江苏省学校德育教育基地、江苏省爱国主义教育基地。 [1]2019年3月，叶圣陶纪念馆所在的叶圣陶执教旧址与叶圣陶墓一并列入江苏省文物保护单位。",8:30,16:30,,,1,,
张家港博物馆,博物馆,18,120.53161,31.871969,11,0,2,0,"张家港博物馆为国家二级博物馆，总建筑面积为12000平方米，采用“轴线对称、主从有序、四隅崇楼”的仿唐建筑风格，现有“长江文化博物馆”“张家港历史文化陈列”“张家港民俗文化展厅”“书画艺术展厅”“碑刻陈列展示区”五大主题陈列，较清晰完整地展现了张家港的历史发展脉络和独特的地域文化。除基本陈列外，博物馆年均引进各类展览10余个，年均接待观众10余万人次。精心打造“身边的博物馆”“小小历史讲解员”“博物馆奇妙夜”等文化服务品牌，定期开展“流动博物馆”进校园进社区活动。

张家港博物馆作为一个集教育、收藏、陈列、研究于一体的综合性博物馆，现有各类馆藏文物5942件（套），钱币10000余枚，种类涉及石器、陶器、瓷器、金银器、玉器和钱币等，同时还收藏了各类现代字画。始终遵循“抢救第一、保护为主、合理利用、加强管理”的文物工作方针，参与发掘的东山村、黄泗浦等遗址分别取得了“全国十大考古发现”等多项考古成果。同时，学术研究不断取得突破， 已陆续出版发行《张家港市历史文化资源报告》《文明溯源——张家港文物精粹》《东山村——新石器时代遗址考古发掘报告》等书籍。

张家港博物馆自2004年起实行免费开放，是全国较早响应免费开放政策的县级博物馆。因优质的文化服务和良好的窗口形象，相继荣获江苏省文明单位、江苏省青年文明号、苏州市文明单位、张家港文明单位标兵等荣誉称号。",8:30,16:30,,,1,,
中国刺绣艺术馆,博物馆,83,120.34371,31.33389,58,4,5,0,中国刺绣艺术馆坐落于苏州高新区著名的刺绣艺术之乡苏州镇湖，国家AAAA级景区，占地面积8000平方米，建筑面积5000平方米，设有绣史馆，名人馆，工艺馆、精品馆及特展厅，分别展陈了刺绣珍贵文物和当代织绣大师的典藏珍品，已成为国内规模最大，集刺绣技艺研发、学术交流、展示评比及文化传播等多功能为一体的专业性刺绣展馆。,9:00,17:00,,,1,,
中国昆曲博物馆,博物馆,142,120.635796,31.312864,249,13,44,0,中国昆曲博物馆坐落于昆曲的发祥地江苏省苏州市古城区平江路中张家巷全晋会馆内。全晋会馆于2006年被公布为全国重点文物保护单位，馆内有苏州地区最精美的古戏台。它经国家文化部和江苏省人民政府立项批准，于2003年11月正式挂牌对外免费开放。中国昆曲博物馆以抢救、保护、传承、弘扬古老的昆曲艺术为宗旨，以展演、陈列、收藏、研究、传承为主要工作内容，每星期有昆曲星期专场演出。,9:00,17:00,,,1,,
中国苏绣艺术博物馆,博物馆,15,120.61787,31.30826,29,2,5,0,"中国苏绣博物馆1986年建成，苏绣已有两千多年的历史，苏绣以绣工精细、针法活泼、图案秀丽、色彩雅洁著称。 明代，苏州刺绣形成“精细雅清”的地方特色，清代苏绣发展到鼎盛时期，形成了图案秀丽，色彩典雅，针法活泼，制作精细的独特风格，成为“中国四大名绣”之一 中国苏绣艺术博物馆现位于苏州景德路王鏊词内，主题陈列有宫廷刺绣艺术，民间刺绣艺术两部分，其中包括唐宋元明清时代期抱经书的经袱， 在近代绣品室，重点陈列了素有“绣圣”，“神针”的美称的刺绣艺术家沈寿的刺绣杰作。
",9:00,17:00,,,1,,
中国苏州评弹博物馆,博物馆,44,120.63919,31.31041,64,0,5,0,苏州评弹博物馆位于江苏省苏州市平江路中张家巷，建筑面积839平方米。馆内藏有评弹各类珍贵历史资料1.2万余件，各种评弹孤本、脚本几百部。值得一提的是，老一辈无产阶级革命家陈云的夫人于若木女士捐赠了陈云生前珍藏的评弹音像资料560多盘，为评弹博物馆的建立打下了良好的基础。,9:00,17:00,,,1,,
白鹭园,公园游乐园,149,120.725357,31.268736,405,8,61,0,园内的各处景观风格各异，形神相依。主入口景区喷泉景墙、树池景灯，呈现出气派大方的入口景观；亲水平台处湖水与水岸相衔接，站在水岸边独墅湖景色尽收眼底，俨然一副水天相接、天高水阔的美景；临水广场的铺地采用天然石材自然拼接，相嵌在草坪内，时而散置、时而规则、增加了几分趣味，更增添了不少景色。无论晨昏，来此一游，您皆可坐拥波光粼粼的水域，或者湖滨散步，或者静听涛声与湖水星光为伴，享尽无限的生活情趣。,8:00,17:00,1,,,,1
白塘公园,公园游乐园,30,120.73732,31.314844,51,4,8,0,苏州白塘公园位于苏州工业园区现代大道中段的北部，与金鸡湖、沙湖互成犄角，总占地面积约60．5公顷，其中水面面积约90公顷。该园的设计方案出自荷兰著名景观设计公司NITA景观设计院。,8:00,17:00,,1,,,1
崇明东滩湿地公园,公园游乐园,238,121.243896,31.727762,395,2,75,20,"滩湿地公园毗邻东滩鸟类自然保护区，也是国内一处与候鸟保护区相邻的湿地公园。建成的湿地公园二期草木丰茂，自然引来了不少珍稀鸟类。“从最近几次的鸟类监测中看到，几乎每个月都有一些新的鸟类进入公园。”邱忠虹告诉记者，湿地公园二期专设了一个水涉禽招引区，园内种植了大量崇明当地土生土长的植被，如竹子、赤槐、乌桕、水葱、菖蒲等，这不仅形成了错落有致的景观，也为鸟儿带来了栖息的佳地。
从最新的监测情况来看，湿地公园内已经发现了112种野生鸟类，包括国家二级保护动物小鸦鹃、白胸苦恶鸟、黑水鸡等，数量也很大。
2020年2月，为感恩全国医务工作者的奉献，东滩湿地公园自恢复开园起至2020年12月31日，对全国（含港澳台地区）医务工作者实行免门票政策。",9:00,17:00,1,,,,1
东园,公园游乐园,50,120.6373062,31.31900024,104,1,4,0,东园是利用蒋桃园废墟，古城墙遗址和内城河，通过人工改造而成。原内城河挖成辽阔的水面，在绵延的古城遗址上广植花木，构成了以山水为主景观的新型现代园林。现开阔的河畔建有苏州市内最大的游艇码头，有游船60余艘。泛舟荡漾水面，使人心旷神怡。南部有一游乐区，内有碰碰车、滑行龙、空战机、旋转木马等10余种游乐设施。,8:00,17:00,1,,,,1
桂花公园,公园游乐园,230,120.64184,31.29381,453,20,26,0,桂花公园建成于1998年10月，占地16.5公顷，位于苏州古城的东南隅，毗邻蓬勃发展的工业园区。东面与古运河相拥，南面绵延数里环抱在郁郁葱葱的姑苏城城垣和大运河的绿水旁，是近年苏州市环古城风光带建设的重点景观之一。沿运河南部建有古城“蛇门”及二百十八米长的姑苏水陆城楼，二公里长的婉延曲径沿运河穿梭在茂密的柳荫绿岛树林中，草坪宽广，自然舒适，充分显现江南城市水乡的特色，是市民休闲、散步、观景的最佳去处。,8:00,17:00,1,,,,1
金仓湖公园,公园游乐园,550,121.10241,31.504192,909,54,139,0,"金仓湖公园位于太仓市城厢镇（市区），面积5.6平方公里，其中湖面面积超过1000亩，是太仓最大的湖泊，是上海市美兰湖的十倍大。金仓湖是太仓市的核心景区，被誉为“太仓市最美丽的地方”。金仓湖地区绿化率超过90%，位居全市排名第一，空气质量和环境指数优良率排名全市第一，年接待游客数量全市排名第一，是来太仓旅游的必游景点。2016年接待游客总量更是超过77万人次 。这里正成为太仓亮丽的新“绿肺”；
总体规划为6个功能区域，包括滨水生态体验区、湿地休闲区、体育运动区、休闲购物区、旅游度假区和住宅区。其中，引进德国理念的赤足森林是国内首家也是一家倡导赤足运动的体验式公园，卸下双足的负担徜徉其间，轻松自然，天人合一。
金仓湖畔的疏朗草坪总面积达10多万平方米，是太仓最大的草坪，站在坡上，眺望千亩湖面，碧绿的草坪、成片的乔木林疏朗有致，更有曲折的木栈道、别致的木平台将草坪和湖光岛色联成一体，让人心旷神怡，太沙公路穿湖区而过，公园以西将建成德国风情小镇，公园以北将建成万丰生态园，太沙公路两侧将建成万亩高产水稻和油菜地。金仓湖在太仓市区以北，是太仓市区的绿肺，是太仓市区38万人休憩好去处，日最大接待游客达5.8万人。
公园一直遵循着“生态、郊野、休闲、运动”的原则和国家4A 级景区的标准进行设计建设，2008年公园入选首批上海世博“主题体验之旅”示范点，2009年又荣获“国家水利风景区”、“江苏省省级湿地公园”称号。",8:00,17:00,,1,,,1
镜湖公园,公园游乐园,211,120.67881,30.909709,482,21,101,0,镜湖公园，安徽省芜湖市镜湖公园。芜湖镜湖公园由大小镜湖两部分组成，大镜湖俗称“陶塘”，小镜湖为“汪家田”。由宋代词人张孝祥“捐田百亩，汇而成湖”。镜湖位于市区中心，毗邻最繁华的芜湖中山路步行街与鸠兹广场，水面达二百余亩。因其水清可鉴，形似圆镜，“水惟不竞形俱鉴”，故名“镜湖”。,8:00,17:00,,1,,,1
莲花岛,公园游乐园,1556,120.874947,31.385172,3660,234,793,0,"莲花岛位于江苏省阳澄湖西湖、中湖、东湖中心，面积约3平方千米，形似一朵盛开的莲花,镶嵌在湖中，因此得名“莲花岛”。
岛上住着200多户人家，约1200人，多以养殖大闸蟹为业。
岛上只有人走的路，没有汽车、摩托车等交通工具。家家户户有好几条船，小船、挂浆船、汽艇，蟹农平时出行就用小汽艇，每个汽艇6万多元。
苏州市政府为了保护阳澄湖水源，阳澄湖部分围网已经拆除，留下部分围网养蟹，降低密度，保护水源，继续着阳澄湖大闸蟹的传奇。",8:00,17:00,1,1,,,
梁鸿湿地公园,公园游乐园,390,120.52141,31.49862,788,27,84,30,梁鸿湿地位于江苏省无锡市鸿山镇东部的中国吴文化博览园内，东与鸿山遗址公园农业生态展示区接壤，西边濒临泰伯渎，北起泰伯渎瞻桥，南至自然村落桥头巷，总规划面积1333亩，一期工程600亩，2009年4月10日开园。,9:00,17:00,1,1,,,1
盘门景区,公园游乐园,949,120.621459,31.284852,1666,104,187,40,"盘门景区位于苏州古城西南隅，占地24.86公顷，古迹众多，人文景观丰富。景区内瑞光塔、水陆城门、吴门桥均为全国重点文物保护单位。为弘扬历史文化，加快发展旅游事业，近年来，盘门景区修复古城墙，整治瑞光塔院，重建四瑞堂、伍相祠、放生池，还营造一池三山、种树植草，精工修造丽景楼、双亭廊桥、水濂洞等诸景点，是苏州旧城改造与保护项目，具有独特的历史文化内涵。分为入口区、明清商市区、中心庭院区、西部居住区、城墙公园区等五部分，并将吴门桥、古盘门、瑞光塔三者有机结合起来，形成了独具特色的风景旅游格局。
",8:00,17:00,1,,1,,1
三国城,公园游乐园,973,120.23883,31.47341,1881,76,146,90,"无锡三国影视城（Wuxi Three Kingdoms Film and Television City）又名中央电视台无锡影视基地，位于江苏省无锡市美丽太湖畔，是国家首批国家AAAAA级旅游景区，也是中国首创的超大规模全沉浸式影视拍摄和旅游基地。
影视基地始建于1987年，是我国首家以影视文化与旅游相结合的主题文旅项目。
无锡三国影视城以其独特的功能和魅力每年吸引着成百上千个摄制组在这里拍摄1000部及以上的电视剧和电影，同时每年吸引着超过300万人次到这里来探索影视制作奥秘和旅游的游客，而且随着景区的不断翻新变化和良好的服务，知名度的日益提高，来这里的摄制组和旅游人数逐年稳步增长，这在业内是首屈一指的，是国内公认的最早最成功的影视基地，被誉为""东方好莱坞""。
三国影城坐落在葱茏苍翠的军嶂山麓、风景秀丽的太湖之滨，是中央电视台为拍摄八十四集电视连续剧《三国演义》而兴建的大型影视文化景区。
中央电视台1994年拍摄的《三国演义》中：“刘备招亲”、“火烧赤壁”、“横槊赋诗”、“草船借箭”、“借东风”、“诸葛吊孝”、“舌战群儒”等十多集的重场戏均在此拍摄。更是影响了后续无数不同类型的古装剧来此拍摄。
影城占地35公顷，是中视股份继唐城景区之后推出的又一座集影视拍摄、旅游功能于一体的影视城。",8:00,17:00,,,1,,1
沙湖生态公园,公园游乐园,907,120.77236,31.3296,1604,109,194,0,截止2020年8月19日，苏州工业园区最大的一个公园，占地面积为121万平方米，其中陆地面积为67万平方米，水域面积为54万平方米。地处工业园二，三期开发区的东面，东临风里街，西靠星华街，北近苏虹东路，南面紧接现代大道。由湖中三个小岛樱花岛（面积约为4.8万平方米）、海棠岛（面积约为0.5万平方米）、芦苇岛（面积约为6千平方米）组合而成。,8:00,17:00,1,,,,
沙洲公园,公园游乐园,196,120.55418,31.86764,123,11,72,0,"沙洲公园是1977年7月在原沙洲县（现张家港市）烈士陵园的基础上扩建，1991年迁出烈士陵园，按照苏州园林的建筑风格重建。
沙洲公园位于张家港市市中心暨阳路和公园路交界处，北临东横河，占地面积5.01万平方米，其中绿地面积4万平方米，是一座构思精巧，布局独特，富有历史文化底蕴的江南仿古园林。
2001年再次进行全面改建，2001年10月1日起开放并免收门票，成为开放式公园。",8:00,17:00,1,1,,,1
水浒城,公园游乐园,392,120.23877,31.4835,728,40,73,80,"水浒城在全国有多个，知名的有：无锡太湖水浒影视城、湖北赤壁中华水浒城、山东东平水浒影视基地。
无锡太湖水浒影视城是中央电视台为拍摄大型电视连续剧《水浒传》而规划的仿宋建筑 、埸景集群，是无锡太湖影视城继唐城、欧洲城、三国城之后，向“东方好莱坞” 目标迈进的又一重大举措。
“水浒城”依山傍水，陆地面积36公顷，并有广阔的湖面拍摄埸景，城内建筑 风格统一而形式多样，上自皇宫相府，下至民宅草屋，衙门监牢、寺院宗庙、街市 店铺、酒楼客栈以及水泊梁山大塞，从各个不同的阶层，充分再出了宋代独特的历 史背景和浓郁的风土人情。游历其间，缅怀岁月，怎不令人感叹时光悠悠，物过而境迁！
“水浒城”宏扬的是宋代光辉灿烂的民族文化，通过一个个逼真的景点再现了 清明时节汴河两岸民俗风貌，其间城郭市桥屋户之远近高下、舟船车马之往来先后 ，皆近其意态，让人忘却世间烦恼、流连于往昔岁月红尘。",8:00,17:00,,,1,,1
苏州公园,公园游乐园,205,120.622307,31.313164,500,7,41,0,《苏州市志》记载：苏州公园“是苏州第一座现代公园，俗称大公园。”考证公园渊源，可以推至春秋，原为春秋吴子城遗址，汉为太守署。唐宋又有增葺，该园已“春日民众可入游乐”。 元末为张士诚王府，后焚毁，遂沦为荒地，称皇废基。翻阅光绪三十四年（1908）的苏州地图，在梗子巷南有池沼，地较疏旷。时值西风东渐，遂有人建议在此建“市民公园”。一块日后在苏州市民生活中不可或缺的“闲地”开始引起了开明士绅的关注。“五四”运动后，各界人士倡议造一座包含图书馆、文物陈列室、会堂、音乐亭等科学文化娱乐设施俱全的公园。1920年，江阴旅沪巨商奚萼铭慨捐5万银元开始了筹建。先由苏州工专土木科学生测绘平面图，再交上海公董局法国园艺家若索姆规划设计。是年7月末，先在园中部荷池南建成一座城堡式两层、四面钟楼的图书馆（原吴县图书馆）。馆东侧临池为“东斋”茶室，西南角建西亭，园东南辟池名“月亮”，池边修廊，紫藤纷披，又植树4000余株。20年代城内外古典园林极少开放，公园被民众誉为城内清静地。,8:00,17:00,,1,,,1
苏州乐园,公园游乐园,5021,120.762428,31.2351,10323,597,1074,180,"苏州乐园原址位于苏州高新区狮山板块，现已搬迁至“城市绿肺”大阳山国家森林公园东南侧，是由苏州高新股份公司斥资打造的全新一代森林主题休闲娱乐目的地。搬迁升级后的苏州乐园深耕森系旅游板块，旗下涵盖森林世界、森林水世界、四季恒温水乐园、苏州乐园植物园四大主题景区及度假酒店、精品民宿、特色餐饮、主题演艺等多元综合业态，正致力于打造森林主题休闲娱乐目的地——苏州乐园森林度假区。
2022年12月30日，苏州乐园森林世界景区获国家4A级旅游景区称号。",9:00,17:00,,,,,1
太湖湿地公园,公园游乐园,3440,120.663986,31.321781,6223,360,838,0,"江苏苏州太湖国家湿地公园位于江苏省苏州市高新区西部，西枕太湖，东接东渚，南连光福，毗邻镇湖，规划总面积4.6平方公里，一期对外开放2.3平方公里，其中水域面积占71%。
江苏苏州太湖国家湿地公园是一个自然与文化相融的个性独具的原始时尚休闲景区，汇集了湿地渔业体验区、湿地展示区、湿地生态栖息地、湿地生态培育区、水乡游赏休闲区、湿地生态科教基地、原生湿地保护区等七大功能区。景区内有桃源人家、桑梓人家、七桅古船、渔矶台、槿篱茅舍、半岛茗茶、青云画舫、烟波致爽等景点。公园主要为鸟类和鱼类提供栖息地。
江苏苏州太湖国家湿地公园于2010年2月正式对外开园，2011年9月通过原国家林业局试点国家湿地公园验收，正式成为国家湿地公园；2012年被评定为国家AAAA级旅游景区。",8:00,17:00,1,,,,1
桃花坞,公园游乐园,2137,120.615692,31.3175797,4584,291,413,0,桃花坞，即今苏州市桃花坞大街及其周边地区。唐诗人杜荀鹤曾作《桃花河》诗，宋范成大《阊门泛槎》诗有“桃坞论今昔”句。可见桃花坞名称由来以久。宋末元初曾居住过桃花坞庆里的徐大焯在《烬余录》中详细描述了桃花坞的范围：“入阊门河而东，循能仁寺、章家河而北，过石塘桥出齐门，古皆称桃花河。河西北，皆桃坞地，广袤所至，赅大云乡全境。”,8:00,17:00,,1,1,,
桐泾公园,公园游乐园,647,120.60231,31.279821,1495,59,126,0,桐泾公园位于桐泾路与解放路交界处东北角，占地约20万平方米，是苏州市中心城区最大的市级公园。该公园围绕“生态、人文、科技”三大规划理念，运用简洁的设计和造园手法，充分体现现代都市中人们对生态自然的追求和高新技术的探求欲望。,8:00,17:00,,1,,,
网师园,公园游乐园,1160,120.635117,31.297597,3259,220,6903,40,"网师园（Master-of-Nets Garden），位于江苏省苏州市城区东南部带城桥路阔家头巷11号，距离上海虹桥机场约120公里。是苏州园林中型古典山水宅园代表作品。网师园始建于南宋时期（公元1127～1279年），旧为宋代藏书家、官至侍郎的扬州文人史正志的“万卷堂”故址，花园名为“渔隐”，后废。至清乾隆年间（约公元1770年），退休的光禄寺少卿宋宗元购之并重建，定园名为“网师园”。
网师园几易其主，园主多为文人雅士，各有诗文碑刻遗于园内，历经修葺整理。网师园占地约半公顷，是苏州园林中较小的一座。园内主要建筑有丛桂轩、濯缨水阁、看松读画轩、殿春簃等。网师园的亭台楼榭无不临水，全园处处有水可依，各种建筑配合得当，布局紧凑，以精巧见长。
网师园是典型的宅园合一的私家园林。住宅部分共四进，自轿厅、大客厅、撷秀楼、五峰书屋，沿中轴线依次展开，主厅“万卷堂”屋宇高敞，装饰雅致。
网师园是全国重点文物保护单位、世界文化遗产。",8:00,17:00,,,1,,
古樟植物园,公园游乐园,20,120.30654,31.12319,14,1,7,0,山古樟植物园，位于苏州市吴县西山景区，因园区有千年香樟树而得名。是由中国科学院中山植物研究所、苏州城建环保学院设计建设，它充分利用西山丰富的植物资源。引进大量名贵花草树木，既有园林之美，又不失自然野趣，与古老的苏州园林遥相呼应，珠联璧合。植物园拥有五个景区：一、古樟树景观区；二、经济植物及珍稀果木示范区；三、展览温室；四、简易花卉生产温室；五、水生植物区。西山古樟植物园以古樟园为基础，将其扩建为120亩古樟植物园，内有各类珍奇观赏植物近千种，成为旅游、植物研究的著名观赏区。,8:00,17:00,,1,,,1
